code,name,market,industry
3329,東和フードサービス,スタンダード,小売業
3333,あさひ,プライム,小売業
3349,コスモス薬品,プライム,小売業
3350,メタプラネット,スタンダード,卸売業
3352,バッファロー,スタンダード,小売業
3353,メディカル一光グループ,スタンダード,小売業
3355,クリヤマホールディングス,スタンダード,卸売業
3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,スタンダード,小売業
3359,ｃｏｔｔａ,グロース,卸売業
3360,シップヘルスケアホールディングス,プライム,卸売業
3361,トーエル,スタンダード,小売業
3370,フジタコーポレーション,スタンダード,小売業
3371,ソフトクリエイトホールディングス,プライム,情報・通信業
3372,関門海,スタンダード,小売業
3374,内外テック,スタンダード,卸売業
3375,ＺＯＡ,スタンダード,小売業
3377,バイク王＆カンパニー,スタンダード,卸売業
